탭,비용 유형,플랜 1,플랜 2,컬럼4
TRICARE Young Adult,Durable medical equipment,Network: $0 Non-network: Point-of-service fees,Network: 10% Non-network: 20%,
TRICARE Young Adult,Home health care,Network: $0 Non-network: Point-of-service fees,Network: $0,
TRICARE Young Adult,Hospice care,Network: $0 Non-network: Point-of-service fees,Network: $0 (Medical equipment and pharmacy are billed separately.),
TRICARE Young Adult,Hospitalization (inpatient care),Network: $0 Non-network: Point-of-service fees,Network: $79 per admission Non-network: 20%,
TRICARE Young Adult,Maternity — hospital delivery,Network: $0 Non-network: Point-of-service fees,Network: $79 per admission Non-network: 20%,
TRICARE Young Adult,Maternity — birthing center delivery,Network: $0 Non-network: Point-of-service fees,Network: $33 per admission Non-network: 20%,
TRICARE Young Adult,Maternity — delivery at home (primary care),Network: $0 Non-network: Point-of-service fees,Network: $19 Non-network: 20%,
TRICARE Young Adult,Maternity — delivery at home (specialty care),Network: $0 Non-network: Point-of-service fees,Network: $33 Non-network: 20%,
TRICARE Young Adult,Inpatient skilled nursing facility/rehab facility,Network: $0 Non-network: Point-of-service fees,Network: $33 per day Non-network: $66 per day,
TRICARE Young Adult,Premium (monthly),$794 per individual,$363 per individual,
TRICARE Young Adult,Deductible (annual),$0,Network: $198 per individual Non-network: $397 per individual Note: Prescription costs also apply to your annual deductible.,
TRICARE Young Adult,Catastrophic cap (annual),"$4,635 per family","$4,635 per family",
TRICARE Young Adult,Clinical preventive services,Network: $0 Non-network: Point-of-service fees,$0,
TRICARE Young Adult,Outpatient visit — primary care,Network: $26 Non-network: Point-of-service fees,Network: $33 Non-network: 25%,
TRICARE Young Adult,Outpatient visit — specialty care,Network: $39 Non-network: Point-of-service fees,Network: $52 Non-network: 25%,
TRICARE Young Adult,Urgent care,Network provider or TRICARE-authorized urgent care center: $39 Any other urgent care provider: Point-of-service fees,Network: $52 Non-network: 25%,
TRICARE Young Adult,Emergency visit,Network or Non-network: $79,Network: $105 Non-network: 25%,
TRICARE Young Adult,Laboratory & X-ray,Network: $0 Non-network: Point-of-service fees,Network: $0 Non-network: 25%,
TRICARE Young Adult,Ambulatory surgery,Network: $79 Non-network: Point-of-service fees,Network: $125 Non-network: 25%,
TRICARE Young Adult,Ambulance,Outpatient (Ground) : $52 Outpatient (Air) : $20 Inpatient : 25% of allowable charge,Outpatient (Ground) : Network: $79 Non-network: 25% Outpatient (Air) : 25% network or non-network Inpatient : 25% of allowable charge,
TRICARE Young Adult,Mental health — inpatient care,Network: $198 per admission Non-network: Point-of-service fees,Network: $231 per admission Non-network: 25%,
TRICARE Young Adult,Mental health (outpatient care/partial hospitalization) — specialty care,Network: $39 Non-network: Point-of-service fees,Network: $52 Non-network: 25%,
TRICARE Young Adult,Mental health — residential treatment facility,Network: $39 per day Non-network: Point-of-service fees,Network: $66 per day Non-network: $397 per day or 20% (whichever is less),
TRICARE Young Adult,Durable medical equipment,Network: 20% Non-network: Point-of-service fees,Network: 20% Non-network: 25%,
TRICARE Young Adult,Home health care,Network: $0 Non-network: Point-of-service fees,Network: $0,
TRICARE Young Adult,Hospice care,Network: $0 (Medical equipment and pharmacy are billed separately.) Non-network: Point-of-service fees,Network: $0 (Medical equipment and pharmacy are billed separately.),
TRICARE Young Adult,Hospitalization (inpatient care),Network: $198 per admission Non-network: $198 per admission,Network: $231 per admission Non-network: 25%,
TRICARE Young Adult,Maternity — hospital delivery,Network: $198 per admission,Network: $231 per admission Non-network: 25%,
TRICARE Young Adult,Maternity — birthing center delivery,Network: $79 Non-network: Point-of-service fees,Network: $125 per admission Non-network: 25%,
TRICARE Young Adult,Maternity — delivery at home (primary care),Network: $26 Non-network: Point-of-service fees,Network: $33 Non-network: 25%,
TRICARE Young Adult,Maternity — delivery at home (specialty care),Network: $39 Non-network: Point-of-service fees,Network: $52 Non-network: 25%,
TRICARE Young Adult,Inpatient skilled nursing facility/rehab facility,Network: $39 per day Non-network: Point-of-service fees,Network: $66 per day Non-network: $397 per day or 20% (whichever is less),
